FIPS,Latitude,Longitude,adult_obesity_2015,adult_obesity_2016,adult_obesity_2017
16001,43.447861,-116.244456,0.244,0.245,0.254
16003,44.884583,-116.431873,0.285,0.294,0.276
16005,42.692939,-112.228986,0.29,0.282,0.281
16007,42.285833,-111.327445,0.285,0.292,0.287
16009,47.218451,-116.633541,0.273,0.286,0.301
16011,43.216357,-112.399206,0.347,0.35,0.333
16013,43.394482,-113.95529,0.187,0.192,0.192
16015,43.987275,-115.715111,0.244,0.236,0.224
16017,48.312512,-116.59694,0.24,0.256,0.247
16019,43.395171,-111.621878,0.295,0.307,0.294
16021,48.773065,-116.524619,0.251,0.273,0.273
16023,43.6851,-113.177627,0.318,0.286,0.285
